title,artist,rank
Unholy,Sam Smith & Kim Petras,1
Everywhere,Fleetwood Mac,2
I'm Good (Blue),David Guetta & Bebe Rexha,3
Thank God,Kane Brown & Katelyn Brown,4
EDGING,blink-182,5
wait in the truck,HARDY & Lainey Wilson,6
Radioactive,Imagine Dragons,7
Son Of A Sinner,Jelly Roll,8
You Proof,Morgan Wallen,9
I Ain't Worried,OneRepublic,10
Sheeple,Tom MacDonald,11
Somebody That I Used to Know (feat. Kimbra),Gotye,12
Unstoppable,Sia,13
Demons,Imagine Dragons,14
Fall In Love,Bailey Zimmerman,15
CUFF IT,Beyoncé,16
Shivers,Ed Sheeran,17
Wasted On You,Morgan Wallen,18
She Had Me At Heads Carolina,Cole Swindell,19
As It Was,Harry Styles,20
Chasing Cars,Snow Patrol,21
Under the Influence,Chris Brown,22
The Kind of Love We Make,Luke Combs,23
Rock and a Hard Place,Bailey Zimmerman,24
What My World Spins Around,Jordan Davis,25
Super Freaky Girl,Nicki Minaj,26
golden hour,JVKE,27
I Like You (A Happier Song) [feat. Doja Cat],Post Malone,28
Sunroof,Nicky Youre & Dazy,29
Hey There Delilah,Plain White T's,30
Leather and Lace,Stevie Nicks & Don Henley,31
Something in the Orange (Z&E's Version),Zach Bryan,32
Gives You Hell,The All-American Rejects,33
Never Leave,Bailey Zimmerman,34
Unholy,Sam Smith & Kim Petras,35
Stressed Out,twenty one pilots,36
Celestial,Ed Sheeran,37
Tennessee Orange,Megan Moroney,38
Numb,Marshmello & Khalid,39
How Do I Say Goodbye,Dean Lewis,40
Hold Me Closer,Elton John & Britney Spears,41
Royals,Lorde,42
Dixieland Delight,Alabama,43
Some Nights,Fun.,44
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,45
"Sugar, We're Goin Down",Fall Out Boy,46
Crazy,Gnarls Barkley,47
Monster Mash,"Bobby ""Boris"" Pickett & The Crypt-Kickers",48
Unholy (Disclosure Remix),Sam Smith & Kim Petras,49
Face It Alone,Queen,50
My Songs Know What You Did In the Dark (Light Em Up),Fall Out Boy,51
Dirty Little Secret,The All-American Rejects,52
Victoria’s Secret,Jax,53
Dog Days Are Over,Florence + the Machine,54
Always Remember Us This Way,Lady Gaga,55
2 Be Loved (Am I Ready),Lizzo,56
Clocks,Coldplay,57
Paradise,Coldplay,58
Bones,Imagine Dragons,59
Forget Me,Lewis Capaldi,60
About Damn Time,Lizzo,61
Next Thing You Know,Jordan Davis,62
Something in the Orange,Zach Bryan,63
Rescue,Lauren Daigle,64
Cold Heart (PNAU Remix),Elton John & Dua Lipa,65
Unholy (ACRAZE Remix),Sam Smith & Kim Petras,66
'Til You Can't,Cody Johnson,67
Bad Habit,Steve Lacy,68
Soul,Lee Brice,69
Good Hands,Kylie Morgan,70
CUFF IT,Beyoncé,71
Build a Boat,Colton Dixon,72
Running Up That Hill (A Deal with God),Kate Bush,73
Left and Right,Charlie Puth & Jung Kook,74
5 Foot 9,Tyler Hubbard,75
I Found You,Nate Smith,76
All Your'n,Tyler Childers,77
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,78
Dancing On My Own (Tiësto Remix) [feat. Tiësto],Calum Scott,79
Don’t Come Lookin’,Jackson Dean,80
Perfectly Loved (feat. TobyMac),Rachael Lampa,81
No Body,Blake Shelton,82
Anxiety,Megan Thee Stallion,83
Late Night Talking,Harry Styles,84
Heat Waves,Glass Animals,85
Half Of Me (feat. Riley Green),Thomas Rhett,86
Human,Cody Johnson,87
We Are Young (feat. Janelle Monáe),Fun.,88
I'm Good (Blue),David Guetta & Bebe Rexha,89
Tennessee Whiskey,Chris Stapleton,90
Ghostbusters,Ray Parker Jr.,91
Heart Like A Truck,Lainey Wilson,92
Tití Me Preguntó,Bad Bunny,93
Believer,Imagine Dragons,94
What He Didn't Do,Carly Pearce,95
Feel Good Inc.,Gorillaz,96
God Is In This Story,Katy Nichole & Big Daddy Weave,97
This Is Halloween,The Citizens of Halloween,98
Waiting,Bailey Zimmerman,99
World's Smallest Violin,AJR,100
